Semua Laporan Iklan CPC - Shopee Indonesia
Username,cleorabeauty
Nama Toko,Cleora Beauty Official Shop
ID Toko,215119251
Waktu Laporan Dibuat,22/02/2026 22:35
Periode,21/02/2026 - 21/02/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
33,[SPESIAL PROMO] Cleora Beauty Glow Smooth Moisturizer - Skin Barrier Mosturizer Pelembab Muka Kering Dan Kusam Glowing Mencerahkan Kulit Brightening Skincare Pemutih Wajah Dark Spot with Niacinamide Day Cream and Night Scincare Gel Pria Dan Wanita,Berjalan,Iklan Produk,27970248277,-,GMV Max ROAS,Semua Penempatan,01/02/2025 00:00:00,Tidak Terbatas,2415,30,1.24%,4,4,13.33%,13.33%,11381.26,11381.26,4,4,276003,276003,45525,6.06,6.06,16.49%,16.49%,-,-,-
34,[SPECIAL OFFER] CLEORA 8x Hyalu Hydrating Moisturizer - Skincare Pelembab Muka Kering Dan Mengatasi Kusam Gel Untuk Mencerahkan Menenangkan Dark Spot Whitening Mosturizer Skin Barrier Calming Brightening Scincare Wajah Jerawat Acne Day Cream Pria Wanita [2],Berjalan,Iklan Produk,24684435054,-,GMV Max ROAS,Semua Penempatan,04/11/2024 00:00:00,Tidak Terbatas,2321,32,1.38%,7,5,21.88%,15.62%,6601.72,9242.41,7,5,528733,340892,46212,11.44,7.38,8.74%,13.56%,-,-,-
35,[𝐂𝐎𝐌𝐁𝐎 𝐇𝐄𝐌𝐀𝐓] Cleora Beauty Whitening Bundle Exclusive Glow Jelly Booster & Pore Glow Exfoliating Toner 120ml - Paket Skincare Untuk Mencerahkan Muka Memperbaiki Skin Barrier Menyamarkan Pori Pori Scincare Wanita Pria Menghaluskan Kulit Exfoliasi Wajah [5],Berjalan,Iklan Produk,26178390187,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,2151,34,1.58%,1,1,2.94%,2.94%,41230.51,41230.51,1,1,150934,150934,41231,3.66,3.66,27.32%,27.32%,-,-,-
36,CLEORA - Hydro Boost Cleansing Gel - Face Wash Brightening With Niacinimide Mencerahkan Dan Memperbaiki Skin Barrier  Skincare Wanita Pria Sabun Cuci Muka For All Skin Type,Berjalan,Iklan Produk,29423188399,-,GMV Max ROAS,Semua Penempatan,05/02/2025 00:00:00,Tidak Terbatas,2129,54,2.54%,5,4,9.26%,7.41%,7785.16,9731.44,5,4,309087,239566,38926,7.94,6.15,12.59%,16.25%,-,-,-
37,[Promo Special] Cleora Calendula Healthy Bright Body Lotion Handbody Wanita Pria With Niacinamide Brightening Memudarkan Bekas Luka Pereda Eksim Body Butter Skin Care Whitening Lotion Pemutih Seluruh Tubuh BPOM Kosmetik Penghilang Koreng Gelap Tangan Kaki [4],Berjalan,Iklan Produk,29723202676,-,GMV Max ROAS,Semua Penempatan,14/06/2025 00:00:00,Tidak Terbatas,2102,40,1.90%,2,2,5.00%,5.00%,17969.43,17969.43,2,2,152000,152000,35939,4.23,4.23,23.64%,23.64%,-,-,-
38,[BELI 2 GRATIS ONGKIR] Cleora Whitening Special Bundle 2in1 - Glow Smooth Moisturizer + Red Saviour Skincare 1 Set Lengkap Pelembab Wajah Exfoliasi Peeling Solution Serum Mosturizer Mencerahkan Muka Kusam Niacinamide Eksfoliasi Scincare Wanita Dan Pria,Berjalan,Iklan Produk,24089340960,-,GMV Max ROAS,Semua Penempatan,22/01/2025 00:00:00,Tidak Terbatas,1744,39,2.24%,2,2,5.13%,5.13%,30022.54,30022.54,2,2,225997,225997,60045,3.76,3.76,26.57%,26.57%,-,-,-
39,[2in1 HEMAT] Cleora Whitening Special Bundle Glow Smooth Moisturizer + 3 Minutes Exfoliasi Gel Skincare Pelembab Wajah Kering Brightening Mosturizer Exfoliasi Peeling Serum Muka Kusam Mencerahkan Mengangkat Sel Kulit Mati Scincare Eksfoliasi Wanita Pria [8],Berjalan,Iklan Produk,27721086422,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,1742,23,1.32%,1,1,4.35%,4.35%,23142.26,23142.26,1,1,127951,127951,23142,5.53,5.53,18.09%,18.09%,-,-,-
40,[2PCS HEMAT] Cleora Beauty Glow Smooth Moisturizer Isi 2pcs | Pelembab Muka Kering Dan Kusam Scincare Gel Mencerahkan Dark Spot Meratakan Warna Kulit Brightening Mosturizer Skin Barrier with Niacinamide Skincare Pemutih Wajah Day Cream and Night,Berjalan,Iklan Produk,24039261504,-,GMV Max ROAS,Semua Penempatan,12/12/2024 00:00:00,Tidak Terbatas,1627,20,1.23%,1,1,5.00%,5.00%,24464.68,24464.68,1,1,147000,147000,24465,6.01,6.01,16.64%,16.64%,-,-,-
41,[HOT SALE] Cleora Skin Rescue - Peeling Solution Serum Red Saviour & Calendula Body Lotion Eksfoliasi Wajah Berminyak Kusam Mencerahkan Skincare Handbody BodyButter Cream Jerawat Acne Brightening Mengangkat Sel Kulit Mati Exfoliasi Eksfoliasi Pemutih Muka [3],Berjalan,Iklan Produk,25494820122,-,GMV Max ROAS,Semua Penempatan,14/05/2025 00:00:00,Tidak Terbatas,1406,6,0.43%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,17438,0.00,0.00,0.00%,0.00%,-,-,-
42,[SPECIAL PROMO] Cleora Red Saviour Peeling Solution Serum - Skincare With AHA+BHA+PHA Mugwort Extract Exfoliasi Wajah Berminyak Acne Dark Spot Scincare Pria Dan Wanita Mencerahkan Kusam Mengangkat Sel Kulit Mati Melembutkan Eksfoliasi Perawatan Muka BPOM [12],Berjalan,Iklan Produk,25676055369,-,GMV Max ROAS,Semua Penempatan,22/08/2025 00:00:00,Tidak Terbatas,1393,16,1.15%,1,0,6.25%,0.00%,11180.50,0.00,1,0,128577,0,11181,11.50,0.00,8.70%,0.00%,-,-,-
